Outlier coords,kNN card.,k-distance,LOF
"(0.8351619113805846, 0.13894038814840037)",3,0.24943638404932747,11.896022116565135
"(0.040554927744786196, 0.5072400792452862)",3,0.23503125129424546,5.555738141555764
"(0.15150612475114178, 0.8765856628207388)",3,0.0847247059779412,3.891877619854614
"(0.17474033164278335, 0.3636861115238198)",3,0.1182276913891019,3.7311367089915155
"(0.7500676018742642, 0.897027660749859)",3,0.08429554555497909,3.1146767841636436
"(0.9160298083819269, 0.523390593285425)",3,0.16621338334829328,2.887349604970023
"(0.42732547274373656, 0.8337665738193867)",3,0.10134450598331779,2.7386737072312326
"(0.2629165269874901, 0.7036678040195118)",3,0.01605284549594449,2.1740836128631917
"(0.14596680282946534, 0.7632310055814474)",3,0.03939314375862354,2.0988946991751347
"(0.290949977617754, 0.8557666871174766)",3,0.05860870193121056,2.0631853295103495
