Coords,kNN card.,k-distance,lrd,LOF
"(0.45660137634625386, 0.43280640922410835)",3,0.022961920236608212,42.38766553946093,1.2151323492219581
"(0.6113784672224188, 0.5286245988894975)",3,0.025904768962622525,39.5311444032445,1.089471271294425
"(0.45029897412145387, 0.7116061205092745)",3,0.02377135292333468,31.836359543909385,1.130834101615806
"(0.6390150501606866, 0.46074398219372076)",3,0.00879943506947084,83.99680089255787,1.0404200376831858
"(0.6289567839292338, 0.32346951478531516)",3,0.030147857607531005,33.47726603407373,0.9624031156915221
"(0.5662104392361843, 0.289357728041304)",3,0.018448815787466297,50.90079899747267,0.9161873297301057
"(0.5676530359179894, 0.29547265797376954)",3,0.02261385753349074,48.342365691219136,0.9823159776670469
"(0.43602399117606827, 0.4157757274892156)",3,0.01990179179328234,54.76413658161285,0.9883106859249016
"(0.5454137939219365, 0.36750178191490135)",3,0.0313592824075103,33.499452870427454,1.0319194846097406
"(0.4394528077596546, 0.5478674292772121)",3,0.017592990102973827,54.73512667608146,1.1161831399164022
"(0.512200437106122, 0.500864646508404)",3,0.011884322250216878,70.93545246354633,1.0566987999984003
"(0.3917587782134365, 0.6103473035285875)",3,0.03271861741768364,31.41815730754755,1.375410754160257
"(0.5218570283765972, 0.5769060811333763)",3,0.027018304010324477,44.84624637793817,0.9802676278937329
"(0.7194189575585879, 0.43648093863144677)",3,0.024008563141843457,35.21237697556155,1.0571251669190718
"(0.2995329322777752, 0.6230627270405613)",3,0.027979462600568893,42.20935959075236,1.1642868052432709
"(0.4982241475102956, 0.42839983794125985)",3,0.032450165714977004,35.487519670827936,1.1234814518531948
"(0.2740522921447801, 0.4804320598631085)",3,0.03809546882279627,27.99877782129438,1.0197640428526686
"(0.38284021717487404, 0.5440688862962566)",3,0.03005485042116762,33.01089920637076,1.2397632233108378
"(0.4249231989421871, 0.284825727537369)",3,0.037656567140113444,24.307995311213283,1.1441179003439939
"(0.5207238207675212, 0.32542733595644696)",3,0.021790323788220996,38.94052900286233,0.9629969799264232
"(0.44329557666585284, 0.32697891986066585)",3,0.025372605715454515,32.84138959055843,1.0172492015336858
"(0.39882121731993425, 0.44917757772100975)",3,0.014458132554719474,74.33011713848167,0.9414562689735395
"(0.5043499801956989, 0.31104972990661883)",3,0.021790323788220996,36.25263195676804,1.0559847415332404
"(0.6418316378383897, 0.44634230241629513)",3,0.014674520317805933,84.30010557405373,1.0138488304311144
"(0.3875139053807079, 0.5835776682759641)",3,0.025159525930144457,49.67061765191143,0.9512834350109668
"(0.3939936115953249, 0.4355492315286958)",3,0.014601125093477878,70.75709888027258,1.0058292661214974
"(0.5310410091841999, 0.6295649641551255)",3,0.022896176820365904,51.74853514223099,0.9658011993072224
"(0.6888968092469115, 0.5241631381654697)",3,0.029923049095242335,35.50738997328849,0.9509033960235047
"(0.6493962308649859, 0.37410916300714764)",3,0.03757448715400604,28.744648882631733,1.5222774108465547
